GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
1	0	False	#f77189
9	0	False	#f77189
14	0	False	#f77189
17	0	False	#f77189
23	0	False	#f77189
15	1	False	#bb9832
24	2	False	#50b131
0	3	True	#36ada4
2	3	True	#36ada4
4	3	True	#36ada4
5	3	True	#36ada4
6	3	True	#36ada4
8	3	True	#36ada4
10	3	True	#36ada4
11	3	True	#36ada4
12	3	True	#36ada4
13	3	True	#36ada4
16	3	True	#36ada4
18	3	True	#36ada4
19	3	True	#36ada4
20	3	True	#36ada4
21	3	True	#36ada4
22	3	True	#36ada4
7	4	False	#3ba3ec
25	4	False	#3ba3ec
3	5	False	#e866f4
