GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
0	0	False	#f77189
5	0	False	#f77189
14	0	False	#f77189
22	0	False	#f77189
23	1	False	#dc8932
24	2	False	#ae9d31
25	3	False	#77ab31
1	4	True	#33b07a
2	4	True	#33b07a
7	4	True	#33b07a
8	4	True	#33b07a
12	4	True	#33b07a
17	4	True	#33b07a
18	4	True	#33b07a
20	4	True	#33b07a
21	4	True	#33b07a
6	5	False	#36ada4
10	5	False	#36ada4
13	5	False	#36ada4
3	6	False	#38a9c5
11	6	False	#38a9c5
16	6	False	#38a9c5
19	6	False	#38a9c5
26	6	False	#38a9c5
9	7	False	#6e9bf4
15	8	False	#cc7af4
4	9	False	#f565cc
