n_components	n_pcs	bic	aic	has_empty_clusters	n_non_empty_clusters
2	2	-2595549.9928932465	-2595661.2110878676	False	2
3	2	-2640357.5694879517	-2640529.4521523663	False	3
4	2	-2660797.894235403	-2661030.441369611	False	4
5	2	-2664469.2518221918	-2664762.463426193	False	5
6	2	-2669949.607642463	-2670303.483716258	False	6
7	2	-2671307.739642745	-2671722.280186333	False	7
8	2	-2673917.090209003	-2674392.295222385	False	8
9	2	-2674104.3643747033	-2674640.2338578785	False	9
10	2	-2674655.8486840907	-2675252.3826370593	False	10
11	2	-2675731.906341807	-2676389.104764569	False	11
12	2	-2677751.9377859277	-2678469.800678483	False	12
13	2	-2677862.969186548	-2678641.496548897	False	13
14	2	-2679529.707265247	-2680368.8990973895	False	14
15	2	-2680197.1170677994	-2681096.9733697353	False	15
16	2	-2678380.921687319	-2679341.4424590482	False	16
17	2	-2680227.240121833	-2681248.425363356	False	17
18	2	-2679984.324348893	-2681066.174060209	False	18
19	2	-2680052.08092541	-2681194.5951065198	False	19
20	2	-2680132.064370549	-2681335.243021452	False	20
21	2	-2681187.626180861	-2682451.4693015576	False	21
22	2	-2681128.4451169316	-2682452.9527074215	False	22
23	2	-2681415.8952432144	-2682801.067303498	False	23
24	2	-2681000.725861326	-2682446.5623914027	False	24
25	2	-2681729.054305515	-2683235.555305385	False	25
26	2	-2682560.0780631886	-2684127.2435328523	False	26
27	2	-2682528.3501071353	-2684156.1800465924	False	27
28	2	-2682022.200541129	-2683710.6949503794	False	28
29	2	-2682425.5788761145	-2684174.7377551585	False	29
30	2	-2682357.460189272	-2684167.2835381096	False	30
31	2	-2682339.244671458	-2684209.732490089	False	31
32	2	-2682282.6835571383	-2684213.8358455626	False	32
33	2	-2682231.2693990613	-2684223.086157279	False	33
34	2	-2682190.194326248	-2684242.675554259	False	34
35	2	-2682123.5024802685	-2684236.648178073	False	35
36	2	-2682099.371758415	-2684273.181926013	False	36
37	2	-2682068.259614128	-2684302.7342515197	False	37
38	2	-2682004.4519390278	-2684299.5910462127	False	38
39	2	-2681934.8234694684	-2684290.627046447	False	39
40	2	-2681894.6314524976	-2684311.0994992694	False	40
41	2	-2681832.832381983	-2684309.964898548	False	41
42	2	-2681768.307932191	-2684306.10491855	False	42
43	2	-2681707.824358192	-2684306.285814344	False	43
44	2	-2681684.6464211065	-2684343.772347052	False	44
45	2	-2681633.999522536	-2684353.789918275	False	45
46	2	-2681576.9605124355	-2684357.415377968	False	46
47	2	-2681509.989711694	-2684351.10904702	False	47
48	2	-2681453.331518847	-2684355.1153239664	False	48
49	2	-2681396.2300595823	-2684358.678334495	False	49
50	2	-2681313.340052515	-2684336.452797221	False	50
51	2	-2681240.7056756592	-2684324.482890159	False	51
52	2	-2681182.0659036133	-2684326.5075879064	False	52
53	2	-2681125.914717132	-2684331.0208712188	False	53
54	2	-2681053.049269353	-2684318.819893233	False	54
55	2	-2681012.61601308	-2684339.0511067533	False	55
56	2	-2680928.936385198	-2684316.035948665	False	56
57	2	-2680871.641184554	-2684319.4052178143	False	57
58	2	-2680808.3106781603	-2684316.739181214	False	58
59	2	-2680767.0239527063	-2684336.1169255534	False	59
60	2	-2680681.0951939938	-2684310.8526366344	False	60
61	2	-2680631.84495886	-2684322.266871294	False	61
62	2	-2680551.776954317	-2684302.8633365445	False	62
63	2	-2680504.919012223	-2684316.669864244	False	63
64	2	-2680437.6934018605	-2684310.108723675	False	64
65	2	-2680382.6041301475	-2684315.6839217553	False	65
66	2	-2680304.4642034285	-2684298.2084648297	False	66
67	2	-2680274.9525571098	-2684329.3612883044	False	67
68	2	-2680153.9568450567	-2684269.030046045	False	68
69	2	-2680112.277720495	-2684288.0153912767	False	69
70	2	-2680043.285254677	-2684279.687395252	False	70
71	2	-2679993.2493271655	-2684290.315937534	False	71
72	2	-2679972.523191004	-2684330.254271166	False	72
73	2	-2679833.407348879	-2684251.8028988345	False	73
74	2	-2679760.064882881	-2684239.1249026298	False	74
75	2	-2679705.9118883046	-2684245.636377847	False	75
76	2	-2679630.2259186753	-2684230.614878011	False	76
77	2	-2679567.97885107	-2684229.032280199	False	77
78	2	-2679495.4912532987	-2684217.209152221	False	78
79	2	-2679434.4826455987	-2684216.8650143147	False	79
80	2	-2679357.6306172167	-2684200.677455726	False	80
81	2	-2679302.8537074327	-2684206.5650157356	False	81
82	2	-2679228.4972674404	-2684192.8730455367	False	82
83	2	-2679156.41548127	-2684181.4557291595	False	83
84	2	-2679086.1847305647	-2684171.889448248	False	84
85	2	-2679014.766184526	-2684161.1353720026	False	85
86	2	-2678983.831106575	-2684190.864763845	False	86
87	2	-2678879.880765705	-2684147.5788927684	False	87
88	2	-2678809.917761978	-2684138.280358835	False	88
89	2	-2678758.808546809	-2684147.8356134593	False	89
90	2	-2678668.905955947	-2684118.597492391	False	90
91	2	-2678596.8506954773	-2684107.2067017145	False	91
92	2	-2678526.392168228	-2684097.4126442587	False	92
93	2	-2678453.885194422	-2684085.5701402463	False	93
94	2	-2678407.920627576	-2684100.2700431934	False	94
95	2	-2678312.51621628	-2684065.530101691	False	95
96	2	-2678263.215034613	-2684076.8933898173	False	96
97	2	-2678190.6561498125	-2684064.9989748104	False	97
98	2	-2678110.831219532	-2684045.8385143233	False	98
99	2	-2678046.466291034	-2684042.138055619	False	99
100	2	-2677974.5523695988	-2684030.888603977	False	100
