GMM_Cluster	Samples	Share(%)
0	3695	2.0350614373757345
1	20618	11.355587744468984
2	2822	1.5542471924964338
3	10681	5.882676918162441
4	182	0.10023847945937311
5	3548	1.9540995885816255
6	6717	3.699460805102249
7	5258	2.8959006867988126
8	5662	3.118408080763575
9	417	0.22966728535471753
10	5382	2.9641950354414623
11	5114	2.816591120633155
12	25046	13.794356904062962
13	3922	2.1600841562618758
14	2062	1.1356689266221285
15	698	0.38443109155298044
16	15833	8.720196952089312
17	31205	17.18649314027329
18	5106	2.8121850336239516
19	5398	2.973007209459869
20	2571	1.4160062125826829
21	8644	4.7607770134440734
22	2014	1.1092324045669093
23	935	0.5149614192006257
24	300	0.16522826284512052
25	53	0.029190326435971293
26	7684	4.232046572339687
