FID	IID	SampleType	Assigned_Merged_Cluster	Assignment_Confidence	PC1	PC2	Prob_Merge_Cluster_0	Prob_Merge_Cluster_1	Prob_Merge_Cluster_2	Prob_Merge_Cluster_3	Prob_Merge_Cluster_4
0000063134	0000063134	Control	0	0.9999970422543443	-0.00490468	0.0145874	0.9999970422543443	1.3291226138720496e-26	3.3903375263936434e-20	3.3733791171569176e-08	2.9240118634948136e-06
NAG11899	NAG11899	Control	0	0.9999968340909289	-0.0126188	-0.00760676	0.9999968340909289	2.1589151782633965e-31	4.44369810507642e-12	8.817085784017344e-10	3.1650229189045364e-06
NAG11908	NAG11908	Control	0	0.9999976633929957	-0.0107029	-0.00896793	0.9999976633929957	7.213095424036594e-30	1.2488576465607478e-13	2.664523241327341e-09	2.3339423592095647e-06
NAG11921	NAG11921	Control	0	0.9999949872920942	-0.0011337	0.00965967	0.9999949872920942	1.7594111124809528e-23	7.961388054295827e-24	4.116039648415903e-07	4.601103943251809e-06
NAG11935	NAG11935	Control	0	0.9999980132952536	-0.00809556	-0.00881385	0.9999980132952536	5.780181861948507e-28	5.110704535557186e-16	1.1726647824748226e-08	1.9749780963465787e-06
NAG11936	NAG11936	Control	0	0.9999941619429834	-0.0165473	-0.00957727	0.9999941619429834	2.576622988534854e-34	7.314815178312923e-09	1.0030853398970123e-10	5.830641889291333e-06
NAG11940	NAG11940	Control	0	0.9999983369341866	-0.00809091	-0.014021	0.9999983369341866	7.307744747249104e-28	1.0243100460211336e-15	1.4487949042092934e-08	1.648577866331085e-06
NAG11943	NAG11943	Control	0	0.9999966370402337	-0.0127417	-0.0080213	0.9999966370402337	1.526766698286843e-31	6.097800718152311e-12	8.26877262015952e-10	3.362126794832647e-06
NAG11944	NAG11944	Control	0	0.9999968422979203	-0.0118964	-0.00584611	0.9999968422979203	6.782034212956385e-31	9.101220958502333e-13	1.2818026809092551e-09	3.1564193696038344e-06
NAG11955	NAG11955	Control	0	0.9999971867034118	-0.00518949	0.0069694	0.9999971867034118	2.4144992126548895e-26	1.3334060730714167e-19	3.501291240674265e-08	2.7782836779304828e-06
NAG11892	NAG11892	Control	0	0.9999944626468337	-0.0170237	-0.0114441	0.9999944626468337	9.88636477667679e-35	2.0284384962510112e-08	7.406542989503857e-11	5.516994717252269e-06
NAG11960	NAG11960	Control	0	0.9999956052234883	-0.0013771	-0.00556518	0.9999956052234883	6.561025699699117e-23	8.611297563554409e-23	7.729318921586791e-07	3.6218446220978057e-06
NAG11985	NAG11985	Control	0	0.9999974134249117	-0.00952718	-0.00638058	0.9999974134249117	4.188829242633823e-29	8.173249702425907e-15	4.793479639567769e-09	2.5817815986683924e-06
NAG11988	NAG11988	Control	0	0.999997582747433	-0.00930741	-0.00610023	0.999997582747433	6.427539943894116e-29	4.81474495368967e-15	5.371751636053192e-09	2.411880809867291e-06
NAG11995	NAG11995	Control	0	0.9999975650084378	-0.0106036	-0.00843485	0.9999975650084378	7.051472983446943e-30	8.451938572247568e-14	2.6930664032485246e-09	2.4322984100017317e-06
NAG12013	NAG12013	Control	0	0.9999977474494702	-0.0110513	-0.0109549	0.9999977474494702	4.029646363595133e-30	3.134938054669949e-13	2.2441900924233626e-09	2.250306028844434e-06
NAG12014	NAG12014	Control	0	0.9999971214784882	-0.0124718	-0.0116966	0.9999971214784882	3.1525275138049914e-31	5.779010361674426e-12	9.702663484836992e-10	2.877545469889468e-06
NAG12028	NAG12028	Control	0	0.9999958854899206	-0.0125874	-0.00254266	0.9999958854899206	1.7128877936393978e-31	2.5567569782474262e-12	8.855430849195992e-10	4.113621976035908e-06
NAG12030	NAG12030	Control	0	0.9999975974554759	-0.00969257	-0.00645517	0.9999975974554759	2.8341015142094865e-29	1.1154993649094812e-14	4.349840831850925e-09	2.3981946742647886e-06
NAG12033	NAG12033	Control	0	0.9999958378808453	-0.0147672	-0.0103939	0.9999958378808453	5.9364546723206e-33	3.5407144952079074e-10	2.684969208320902e-10	4.161496589532393e-06
NAG12038	NAG12038	Control	0	0.9999970764047228	-0.0031027	-0.00514562	0.9999970764047228	2.832373841465086e-24	4.463554207404206e-21	2.2264960812065167e-07	2.7009456714149344e-06
NAG11980	NAG11980	Control	0	0.9999970411994983	-0.0120754	-0.00757918	0.9999970411994983	5.07080715955327e-31	1.5131123836535703e-12	1.2006141444746837e-09	2.957598372223573e-06
NAG12051	NAG12051	Control	0	0.9999975549861532	-0.00980204	-0.00595706	0.9999975549861532	2.6642284839097644e-29	1.2822020582891202e-14	4.001124149744827e-09	2.441012707269994e-06
NAG11884	NAG11884	Control	0	0.9999961845807397	-0.0142288	-0.00917198	0.9999961845807397	1.1362205930969169e-32	1.0798434282802185e-10	3.5759572849462635e-10	3.8149536832315345e-06
NAG11869	NAG11869	Control	1	0.9999985617464153	0.0636907	-0.00655874	4.557129620031973e-32	0.9999985617464153	3.546094654910451e-160	9.124707950023687e-07	5.257827891984808e-07
