Sample_ID	Original_Cluster	Rank
2999935489	Cluster 1	1
4999934593	Cluster 1	1
4999934775	Cluster 1	1
5000063446	Cluster 1	1
5000065258	Cluster 1	1
6000064960	Cluster 1	1
6000065054	Cluster 1	1
6999935877	Cluster 1	1
7000064368	Cluster 1	1
AYUM0159	Cluster 1	1
AYUM0285	Cluster 1	1
AYUM0460	Cluster 1	1
AYUM0593	Cluster 1	1
AYUM5043	Cluster 1	1
C_AC0006	Cluster 1	1
C_AC0092	Cluster 1	1
C_AC0097	Cluster 1	1
C_AC0141	Cluster 1	1
C_AC0180	Cluster 1	1
C_AC0216	Cluster 1	1
C_AC0224	Cluster 1	1
C_AC0286	Cluster 1	1
C_AC0292	Cluster 1	1
C_AC0311	Cluster 1	1
C_AC0334	Cluster 1	1
C_AC0349	Cluster 1	1
C_AC0387	Cluster 1	1
C_AC0389	Cluster 1	1
C_AC0433	Cluster 1	1
C_AC0456	Cluster 1	1
C_AC0473	Cluster 1	1
C_AC0484	Cluster 1	1
C_AC0492	Cluster 1	1
C_AC0538	Cluster 1	1
C_AC0542	Cluster 1	1
C_AC0572	Cluster 1	1
C_AC0625	Cluster 1	1
C_AC0632	Cluster 1	1
C_AC0651	Cluster 1	1
C_AC0696	Cluster 1	1
C_AC0709	Cluster 1	1
C_AC0719	Cluster 1	1
C_AC0723	Cluster 1	1
C_AC0761	Cluster 1	1
C_AC0766	Cluster 1	1
C_AC0800	Cluster 1	1
C_AC0809	Cluster 1	1
C_AC0815	Cluster 1	1
C_AC0840	Cluster 1	1
C_AC0853	Cluster 1	1
C_AC0871	Cluster 1	1
C_AC0909	Cluster 1	1
C_AC0953	Cluster 1	1
C_AC1498	Cluster 1	1
C_AC1500	Cluster 1	1
C_AC1549	Cluster 1	1
C_AC1587	Cluster 1	1
C_AC1682	Cluster 1	1
HVUM0010	Cluster 1	1
HVUM0048	Cluster 1	1
HVUM0064	Cluster 1	1
HVUM0077	Cluster 1	1
HVUM0283	Cluster 1	1
HVUM0295	Cluster 1	1
HVUM0296	Cluster 1	1
HVUM0314	Cluster 1	1
HVUM0375	Cluster 1	1
HVUM0492	Cluster 1	1
HVUM0622	Cluster 1	1
HVUM0641	Cluster 1	1
HVUM0734	Cluster 1	1
HVUM1007	Cluster 1	1
LCAC0004	Cluster 1	1
LCAC0062	Cluster 1	1
LCAC0096	Cluster 1	1
LCAC0105	Cluster 1	1
LCAC0109	Cluster 1	1
LCAC0139	Cluster 1	1
LCAC0183	Cluster 1	1
LCAC0188	Cluster 1	1
LCAC0197	Cluster 1	1
LCAC0207	Cluster 1	1
LCAC0266	Cluster 1	1
LCAC0308	Cluster 1	1
LCAC0360	Cluster 1	1
LCAC0389	Cluster 1	1
LCAC0419	Cluster 1	1
LCAC0451	Cluster 1	1
LCAC0453	Cluster 1	1
LCAC0459	Cluster 1	1
LCAC0477	Cluster 1	1
LCAC0487	Cluster 1	1
LCAC0523	Cluster 1	1
LCAC0526	Cluster 1	1
LCAC0571	Cluster 1	1
LCAC0612	Cluster 1	1
LCAC0669	Cluster 1	1
LCAC0674	Cluster 1	1
LCAC0771	Cluster 1	1
LCAC0809	Cluster 1	1
LCAC0820	Cluster 1	1
LCAC0845	Cluster 1	1
LCAC0848	Cluster 1	1
LCAC0903	Cluster 1	1
NAG10110	Cluster 1	1
NAG10200	Cluster 1	1
NAG10262	Cluster 1	1
NAG11096	Cluster 1	1
NAG11116	Cluster 1	1
NAG11524	Cluster 1	1
NAG11651	Cluster 1	1
NAG12131	Cluster 1	1
