n_components	n_pcs	bic	aic	has_empty_clusters	n_non_empty_clusters
2	2	-2595542.284173467	-2595653.50248909	False	2
3	2	-2640365.1935150074	-2640537.0763664246	False	3
4	2	-2659764.0044201924	-2659996.5518074036	False	4
5	2	-2659828.321304915	-2660121.5332279205	False	5
6	2	-2669954.7038005237	-2670308.580259323	False	6
7	2	-2671339.9377251174	-2671754.4787197113	False	7
8	2	-2673952.629214065	-2674427.8347444534	False	8
9	2	-2674027.6965393857	-2674563.566605568	False	9
10	2	-2674360.4276506403	-2674956.962252617	False	10
11	2	-2675882.816389954	-2676540.015527725	False	11
12	2	-2678366.675985935	-2679084.5396595	False	12
13	2	-2679560.135921805	-2680338.6641311646	False	13
14	2	-2679608.327145632	-2680447.519890785	False	14
15	2	-2680202.363321088	-2681102.2206020355	False	15
16	2	-2679554.7236075285	-2680515.2454242706	False	16
17	2	-2680146.5056583434	-2681167.6920108795	False	17
18	2	-2680232.6702126674	-2681314.521100998	False	18
19	2	-2680107.467233308	-2681249.9826574326	False	19
20	2	-2681237.8116792184	-2682440.9916391373	False	20
21	2	-2680044.1536198263	-2681307.9981155396	False	21
22	2	-2681290.4987876685	-2682615.0078191757	False	22
23	2	-2681069.7556023533	-2682454.929169655	False	23
24	2	-2680690.703509529	-2682136.541612625	False	24
25	2	-2680700.921402858	-2682207.424041748	False	25
26	2	-2680619.5871569044	-2682186.7543315887	False	26
27	2	-2680549.6969283614	-2682177.5286388397	False	27
28	2	-2680591.819355076	-2682280.315601349	False	28
29	2	-2682414.8736427147	-2684164.034424782	False	29
30	2	-2681189.48444414	-2682999.309762001	False	30
31	2	-2682262.9555914053	-2684133.4454450607	False	31
32	2	-2682293.8073949134	-2684224.961784363	False	32
33	2	-2682253.740969318	-2684245.559894562	False	33
34	2	-2682159.055369719	-2684211.538830757	False	34
35	2	-2682121.5898571718	-2684234.737854004	False	35
36	2	-2681931.190657414	-2684105.0031900406	False	36
37	2	-2682061.050550941	-2684295.527619362	False	37
38	2	-2681882.7889454067	-2684177.9305496216	False	38
39	2	-2681951.614079412	-2684307.4202194214	False	39
40	2	-2681912.7614132394	-2684329.2320890427	False	40
41	2	-2681855.875749935	-2684333.0109615326	False	41
42	2	-2681811.1276808535	-2684348.9274282455	False	42
43	2	-2681757.0163248004	-2684355.4806079865	False	43
44	2	-2681683.311423787	-2684342.4402427673	False	44
45	2	-2681626.2523662797	-2684346.045721054	False	45
46	2	-2681562.0841464414	-2684342.54203701	False	46
47	2	-2681488.379245428	-2684329.501671791	False	47
48	2	-2681436.6954082195	-2684338.4823703766	False	48
49	2	-2681374.08773621	-2684336.5392341614	False	49
50	2	-2681311.133275794	-2684334.24930954	False	50
51	2	-2681239.682499422	-2684323.463068962	False	51
52	2	-2681204.471111516	-2684348.9162168503	False	52
53	2	-2681142.3836221164	-2684347.4932632446	False	53
54	2	-2681073.1869703857	-2684338.9611473083	False	54
55	2	-2680997.574733137	-2684324.013445854	False	55
56	2	-2680917.454246606	-2684304.557495117	False	56
57	2	-2680888.3116558115	-2684336.079440117	False	57
58	2	-2680821.542522926	-2684329.974843025	False	58
59	2	-2680755.120178446	-2684324.21703434	False	59
60	2	-2680648.296984624	-2684278.0583763123	False	60
61	2	-2680644.1231590887	-2684334.5490865707	False	61
62	2	-2680586.3705247683	-2684337.4609880447	False	62
63	2	-2680523.7628527586	-2684335.5178518295	False	63
64	2	-2680446.590067682	-2684319.0096025467	False	64
65	2	-2680398.8942971462	-2684331.9783678055	False	65
66	2	-2680326.749943962	-2684320.498550415	False	66
67	2	-2680259.11384006	-2684313.5269823074	False	67
68	2	-2680183.5016028113	-2684298.5792808533	False	68
69	2	-2680122.2810844276	-2684298.0232982635	False	69
70	2	-2680085.1623602863	-2684321.5691099167	False	70
71	2	-2679979.2061374807	-2684276.277422905	False	71
72	2	-2679932.203943758	-2684289.9397649765	False	72
73	2	-2679842.8935644575	-2684261.2939214706	False	73
74	2	-2679777.5115851974	-2684256.5764780045	False	74
75	2	-2679704.3268667934	-2684244.056295395	False	75
76	2	-2679628.5412353417	-2684228.9351997375	False	76
77	2	-2679561.9454966593	-2684223.003996849	False	77
78	2	-2679495.3497579764	-2684217.0727939606	False	78
79	2	-2679429.1008077003	-2684211.4883794785	False	79
80	2	-2679371.8683559895	-2684214.920463562	False	80
81	2	-2679282.211188283	-2684185.92783165	False	81
82	2	-2679233.128264122	-2684197.509443283	False	82
83	2	-2679147.9793456984	-2684173.0250606537	False	83
84	2	-2679078.609299765	-2684164.319550514	False	84
85	2	-2679046.345613313	-2684192.7203998566	False	85
86	2	-2678938.4820542717	-2684145.52137661	False	86
87	2	-2678879.3422663263	-2684147.0461244583	False	87
88	2	-2678803.3832406714	-2684131.751634598	False	88
89	2	-2678725.5168787814	-2684114.549808502	False	89
90	2	-2678671.232128525	-2684120.92959404	False	90
91	2	-2678595.6198912766	-2684105.9818925858	False	91
92	2	-2678523.6489322954	-2684094.6754693985	False	92
93	2	-2678478.3806806044	-2684110.071753502	False	93
94	2	-2678392.3647911646	-2684084.7203998566	False	94
95	2	-2678300.8002872234	-2684053.8204317093	False	95
96	2	-2678224.8412615685	-2684038.5259418488	False	96
97	2	-2678198.126189619	-2684072.475405693	False	97
98	2	-2678122.5139523703	-2684057.527704239	False	98
99	2	-2678033.376967273	-2684029.055254936	False	99
100	2	-2677955.683999587	-2684012.026823044	False	100
