GMM_Cluster	Samples	Share(%)
0	6002	3.3275121275121275
1	7423	4.115315315315316
2	26343	14.604573804573803
3	7210	3.997227997227997
4	708	0.39251559251559254
5	6566	3.6401940401940407
6	6064	3.3618849618849618
7	3781	2.0961884961884962
8	12769	7.079140679140679
9	2522	1.3981981981981983
10	7608	4.217879417879418
11	32211	17.857796257796256
12	14854	8.235065835065836
13	2322	1.2873180873180874
14	3348	1.8561330561330562
15	6155	3.412335412335412
16	3295	1.8267498267498268
17	2909	1.6127512127512127
18	181	0.10034650034650035
19	4159	2.305751905751906
20	5799	3.2149688149688145
21	434	0.2406098406098406
22	407	0.22564102564102562
23	11746	6.5119889119889125
24	4039	2.2392238392238393
25	1468	0.8138600138600139
26	52	0.02882882882882883
