GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
4	0	False	#f77189
28	1	False	#eb8032
16	2	False	#c19632
2	3	False	#a0a131
5	3	False	#a0a131
12	3	False	#a0a131
15	3	False	#a0a131
3	4	True	#71ac31
10	4	True	#71ac31
20	4	True	#71ac31
25	4	True	#71ac31
27	4	True	#71ac31
6	5	False	#33b16f
8	6	False	#35ae97
19	6	False	#35ae97
24	6	False	#35ae97
9	7	False	#36abb0
18	7	False	#36abb0
26	7	False	#36abb0
0	8	False	#39a8cc
14	8	False	#39a8cc
17	8	False	#39a8cc
21	8	False	#39a8cc
1	9	False	#639df4
7	9	False	#639df4
11	10	False	#b486f4
23	10	False	#b486f4
13	11	False	#f35cf4
22	12	False	#f668be
