GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
4	0	False	#f77189
28	0	False	#f77189
16	1	False	#bb9832
0	2	True	#50b131
2	2	True	#50b131
3	2	True	#50b131
5	2	True	#50b131
6	2	True	#50b131
8	2	True	#50b131
9	2	True	#50b131
10	2	True	#50b131
12	2	True	#50b131
14	2	True	#50b131
15	2	True	#50b131
17	2	True	#50b131
18	2	True	#50b131
19	2	True	#50b131
20	2	True	#50b131
21	2	True	#50b131
24	2	True	#50b131
25	2	True	#50b131
26	2	True	#50b131
27	2	True	#50b131
1	3	False	#36ada4
7	3	False	#36ada4
11	3	False	#36ada4
23	3	False	#36ada4
13	4	False	#3ba3ec
22	5	False	#e866f4
