Rank	Cluster	CTEPH_Count_MAP	AGP3K_Count_MAP	Total_Count_MAP	Case_Ctrl_Ratio
1	1	91	155	246	0.5870967741935483
2	16	96	257	353	0.3735408560311284
3	17	41	125	166	0.328
4	26	41	137	178	0.29927007299270075
5	21	24	87	111	0.27586206896551724
6	6	22	129	151	0.17054263565891473
7	3	63	488	551	0.1290983606557377
8	11	20	203	223	0.09852216748768473
9	18	5	52	57	0.09615384615384616
10	10	10	126	136	0.07936507936507936
11	7	3	53	56	0.05660377358490566
12	12	8	164	172	0.04878048780487805
13	19	10	264	274	0.03787878787878788
14	13	5	186	191	0.026881720430107527
15	2	0	52	52	0.0
16	8	0	82	82	0.0
17	20	0	102	102	0.0
