Included_Max_Rank	Included_Cluster_Count	Included_Clusters	CTEPH_Count	AGP3K_Count	Case_Control_Ratio	Total_Count	GWAS_Neff	RGV_Global	RGV_Mainland	PC12_CaseCtrl_Mahalanobis	PC12_CaseCtrl_HotellingT2	PC12_CaseCtrl_P
1	1	1	91	155	0.5870967741935483	246	229.34959349593493	0.001627351800424085	0.0026778431371262544	0.10177916946426084	0.593958071731926	0.7442319649237746
2	2	1,16	198	489	0.4049079754601227	687	563.7379912663755	0.0025342702165996323	0.003270353396394035	0.27190432417440197	10.419563867266039	0.00572445547690405
3	3	1,16,17	255	647	0.3941267387944359	902	731.6407982261641	0.0030822840874620335	0.003591339913117683	0.16671243248898332	5.083629604908853	0.07951204677890378
4	4	1,16,17,26	305	803	0.37982565379825656	1108	884.1696750902528	0.0034422825279376143	0.0036900320877318316	0.16534623244585456	6.0431619278698605	0.0492605644032085
5	5	1,16,17,26,21	322	924	0.3484848484848485	1246	955.1460674157304	0.0038220551506287824	0.0038576312050695016	0.0768467840166565	1.4101366336809973	0.4945522114465547
6	6	1,16,17,26,21,6	343	1042	0.3291746641074856	1385	1032.2194945848375	0.004044008515101588	0.00399763167761524	0.12223674009736953	3.855809634623976	0.14604649684589335
7	7	1,16,17,26,21,6,3	402	1541	0.2608695652173913	1943	1275.310344827586	0.00436503764845557	0.004138179159179897	0.24083439090743494	18.492383818598636	0.00010127375777490056
8	8	1,16,17,26,21,6,3,11	414	1736	0.23847926267281105	2150	1337.1237209302326	0.004526967998180993	0.004213042269415376	0.335770638565723	37.687474469715	7.780549374290488e-09
9	9	1,16,17,26,21,6,3,11,18	419	1776	0.23592342342342343	2195	1356.0710706150342	0.004645745537559727	0.0042547052329655844	0.318118082799758	34.30829792165063	4.0840693202539725e-08
10	10	1,16,17,26,21,6,3,11,18,10	425	1901	0.2235665439242504	2326	1389.3809114359417	0.004966100416962946	0.004444310180146364	0.3260545532075566	36.92681708485274	1.1166180556883432e-08
11	11	1,16,17,26,21,6,3,11,18,10,7	426	1968	0.21646341463414634	2394	1400.781954887218	0.005168432373599669	0.004568090755727754	0.225637280639238	17.82921660245903	0.00013944558457470993
12	12	1,16,17,26,21,6,3,11,18,10,7,12	429	2079	0.20634920634920634	2508	1422.4736842105265	0.005377367040843571	0.0047331616869069285	0.10132776349288933	3.6512465814919133	0.16144889238404933
13	13	1,16,17,26,21,6,3,11,18,10,7,12,19	434	2288	0.1896853146853147	2722	1459.2094048493755	0.005592216127961737	0.0048114534727319025	0.23468827073211754	20.092797097583293	4.513765826926792e-05
14	14	1,16,17,26,21,6,3,11,18,10,7,12,19,13	439	2446	0.1794766966475879	2885	1488.7958405545926	0.006162661296002964	0.005052105006034025	0.20987119253000278	16.393844674718693	0.00028277196877302195
15	15	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2	439	2494	0.1760224538893344	2933	1493.1687691783159	0.006266139220185751	0.00515654860510885	0.16740809057498318	10.46168868468813	0.0054086826252754605
16	16	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2,8	439	2563	0.17128365197034726	3002	1499.2098600932711	0.0064952017010956225	0.005381277891268886	0.08761038723655051	2.8768262863950858	0.2375814742102952
17	17	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2,8,20	439	2662	0.16491359879789633	3101	1507.407932924863	0.0069707324074082195	0.0060277645647271805	0.07028328523552713	1.8615508847983266	0.3944764872742687
