Included_Max_Rank	Included_Cluster_Count	Included_Clusters	CTEPH_Count	AGP3K_Count	Case_Control_Ratio	Total_Count	GWAS_Neff	RGV_Global	RGV_Mainland	PC12_CaseCtrl_Mahalanobis	PC12_CaseCtrl_HotellingT2	PC12_CaseCtrl_P	Mainland_CaseCtrl_Mahalanobis	Mainland_CaseCtrl_D2_Unbiased	Mainland_CaseCtrl_HotellingT2	Mainland_CaseCtrl_P	Mainland_CaseCtrl_Noise_Floor
1	1	1	91	155	0.5870967741935483	246	229.34959349593493	0.001627351800424085	0.0026778431371262544	0.10177916946426084	0.593958071731926	0.7442319649237746	0.5003870480677848	0.18062470230504435	14.356550512246548	0.007839602621109113	0.06976249556894719
2	2	1,16	198	489	0.4049079754601227	687	563.7379912663755	0.0025342702165996323	0.003270353396394035	0.27190432417440197	10.419563867266039	0.00572445547690405	0.2551991766866241	0.03674464047930609	9.178587453402292	0.05886491645015483	0.028381979302224705
3	3	1,16,17	255	647	0.3941267387944359	902	731.6407982261641	0.0030822840874620335	0.003591339913117683	0.16671243248898332	5.083629604908853	0.07951204677890378	0.3473334839819856	0.09877189436887704	22.066386909588886	0.00022456475112383583	0.02186865472618723
4	4	1,16,17,26	305	803	0.37982565379825656	1108	884.1696750902528	0.0034422825279376143	0.0036900320877318316	0.16534623244585456	6.0431619278698605	0.0492605644032085	0.3411558476326074	0.098291238225749	25.72653304156978	4.207567736585732e-05	0.018096074148173855
5	5	1,16,17,26,21	322	924	0.3484848484848485	1246	955.1460674157304	0.0038220551506287824	0.0038576312050695016	0.0768467840166565	1.4101366336809973	0.4945522114465547	0.3049010286310415	0.07621327268281566	22.19870192196852	0.00020342280564287666	0.016751364577451532
6	6	1,16,17,26,21,6	343	1042	0.3291746641074856	1385	1032.2194945848375	0.004044008515101588	0.00399763167761524	0.12223674009736953	3.855809634623976	0.14604649684589335	0.21652269702032653	0.031381499151690986	12.098148798418245	0.01714344695555322	0.015500579173265139
7	7	1,16,17,26,21,6,3	402	1541	0.2608695652173913	1943	1275.310344827586	0.00436503764845557	0.004138179159179897	0.24083439090743494	18.492383818598636	0.00010127375777490056	0.2923511468196562	0.07292322722370956	27.249936514152363	1.9580196111999523e-05	0.01254596582305862
8	8	1,16,17,26,21,6,3,11	414	1736	0.23847926267281105	2150	1337.1237209302326	0.004526967998180993	0.004213042269415376	0.335770638565723	37.687474469715	7.780549374290488e-09	0.3461573011734276	0.10785889394144099	40.055171400599725	5.114957188661089e-08	0.011965983214230059
9	9	1,16,17,26,21,6,3,11,18	419	1776	0.23592342342342343	2195	1356.0710706150342	0.004645745537559727	0.0042547052329655844	0.318118082799758	34.30829792165063	4.0840693202539725e-08	0.34607149061635756	0.10796668498570047	40.60262452482874	3.945292159221474e-08	0.011798791631727193
10	10	1,16,17,26,21,6,3,11,18,10	425	1901	0.2235665439242504	2326	1389.3809114359417	0.004966100416962946	0.004444310180146364	0.3260545532075566	36.92681708485274	1.1166180556883432e-08	0.26954242032444026	0.0611371959409525	25.235713254769582	4.8523696491335745e-05	0.011515920413404709
11	11	1,16,17,26,21,6,3,11,18,10,7	426	1968	0.21646341463414634	2394	1400.781954887218	0.005168432373599669	0.004568090755727754	0.225637280639238	17.82921660245903	0.00013944558457470993	0.20066478902308071	0.028844165866971895	14.101096762557015	0.007143625105845005	0.0114221916867056
12	12	1,16,17,26,21,6,3,11,18,10,7,12	429	2079	0.20634920634920634	2508	1422.4736842105265	0.005377367040843571	0.0047331616869069285	0.10132776349288933	3.6512465814919133	0.16144889238404933	0.13823409785350113	0.00786065456136008	6.795393563551038	0.14793654794115194	0.011248011248011247
13	13	1,16,17,26,21,6,3,11,18,10,7,12,19	434	2288	0.1896853146853147	2722	1459.2094048493755	0.005592216127961737	0.0048114534727319025	0.23468827073211754	20.092797097583293	4.513765826926792e-05	0.24620368617258126	0.049651413474963976	22.11295237668311	0.0001997464304669045	0.0109648416100029
14	14	1,16,17,26,21,6,3,11,18,10,7,12,19,13	439	2446	0.1794766966475879	2885	1488.7958405545926	0.006162661296002964	0.005052105006034025	0.20987119253000278	16.393844674718693	0.00028277196877302195	0.13227777521447376	0.00675046952733014	6.512517738519911	0.1647488332840003	0.01074694028836071
15	15	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2	439	2494	0.1760224538893344	2933	1493.1687691783159	0.006266139220185751	0.00515654860510885	0.16740809057498318	10.46168868468813	0.0054086826252754605	0.08436258757571087	-0.0035984203677750176	2.6567377721157985	0.6173365755319695	0.010715466550244504
16	16	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2,8	439	2563	0.17128365197034726	3002	1499.2098600932711	0.0064952017010956225	0.005381277891268886	0.08761038723655051	2.8768262863950858	0.2375814742102952	0.08360899801702673	-0.0036818238512297983	2.6200433447774265	0.623787436303638	0.010672288400640977
17	17	1,16,17,26,21,6,3,11,18,10,7,12,19,13,2,8,20	439	2662	0.16491359879789633	3101	1507.407932924863	0.0069707324074082195	0.0060277645647271805	0.07028328523552713	1.8615508847983266	0.3944764872742687	0.2040787543690681	0.031033891070954393	15.69518339747068	0.0035337305590698743	0.010614246913876049
