Rank	Cluster	CTEPH_Count_MAP	AGP3K_Count_MAP	Total_Count_MAP	Case_Ctrl_Ratio
1	27	68	124	192	0.5483870967741935
2	14	54	109	163	0.4954128440366973
3	3	42	88	130	0.4772727272727273
4	20	47	133	180	0.3533834586466165
5	0	99	358	457	0.276536312849162
6	21	17	71	88	0.23943661971830985
7	17	11	87	98	0.12643678160919541
8	19	14	132	146	0.10606060606060606
9	5	7	76	83	0.09210526315789473
10	18	34	397	431	0.08564231738035265
11	26	16	229	245	0.06986899563318777
12	10	3	43	46	0.06976744186046512
13	25	3	51	54	0.058823529411764705
14	8	5	114	119	0.043859649122807015
15	24	4	100	104	0.04
16	2	6	151	157	0.039735099337748346
17	9	4	183	187	0.02185792349726776
