Included_Max_Rank	Included_Cluster_Count	Included_Clusters	CTEPH_Count	AGP3K_Count	Case_Control_Ratio	Total_Count	GWAS_Neff	PC12_AllSample_Heterogeneity
1	1	13	87	141	0.6170212765957447	228	215.21052631578948	0.001642358252515039
2	2	13,5	174	357	0.48739495798319327	531	467.9322033898305	0.0025048616949701614
3	3	13,5,12	264	661	0.39939485627836613	925	754.6118918918919	0.003080010054944756
4	4	13,5,12,0	299	813	0.3677736777367774	1112	874.4136690647482	0.0034175279711798597
5	5	13,5,12,0,4	361	1250	0.2888	1611	1120.4220980757293	0.0037526549776250957
6	6	13,5,12,0,4,19	373	1324	0.28172205438066467	1697	1164.0589275191514	0.003948673837630051
7	7	13,5,12,0,4,19,2	393	1544	0.2545336787564767	1937	1253.0552400619513	0.004528895229504257
8	8	13,5,12,0,4,19,2,16	397	1596	0.2487468671679198	1993	1271.6748620170597	0.004654135914725818
9	9	13,5,12,0,4,19,2,16,22	408	1730	0.23583815028901733	2138	1320.5612722170251	0.005039631424619393
10	10	13,5,12,0,4,19,2,16,22,18	424	1993	0.21274460612142498	2417	1398.480761274307	0.00513742698506105
11	11	13,5,12,0,4,19,2,16,22,18,20	425	2030	0.20935960591133004	2455	1405.7026476578415	0.00525056066777617
12	12	13,5,12,0,4,19,2,16,22,18,20,8	430	2207	0.19483461712732217	2637	1439.5297686765264	0.005863743212484512
13	13	13,5,12,0,4,19,2,16,22,18,20,8,10	433	2416	0.17922185430463577	2849	1468.7651807651807	0.006082117000356224
14	14	13,5,12,0,4,19,2,16,22,18,20,8,10,11	434	2491	0.17422721798474508	2925	1478.4191452991452	0.006241327639467957
15	15	13,5,12,0,4,19,2,16,22,18,20,8,10,11,21	434	2552	0.1700626959247649	2986	1483.6811788345613	0.006433998629303637
16	16	13,5,12,0,4,19,2,16,22,18,20,8,10,11,21,6	434	2665	0.1628517823639775	3099	1492.8815747015167	0.006961750974739865
