Included_Max_Rank	Included_Cluster_Count	Included_Clusters	CTEPH_Count	AGP3K_Count	Case_Control_Ratio	Total_Count	GWAS_Neff	PC12_AllSample_Heterogeneity	Delta_Neff	Delta_Heterogeneity	Neff_Gain_per_Heterogeneity	Neff_Norm	Heterogeneity_Norm	Utility_NeffMinusHet	Is_Pareto	Distance_To_Ideal	Is_Recommended
1	1	27	68	124	0.5483870967741935	192	175.66666666666666	0.0014943427264306154				0.0	0.0	0.0	True	1.0	False
2	2	27,14	158	300	0.5266666666666666	458	413.9737991266376	0.0021765879389872393	238.30713245997092	0.0006822452125566239	349298.3579422219	0.18321297486102572	0.14511357004145348	0.03809940481957225	True	0.8295775989294498	False
3	3	27,14,3	199	417	0.47721822541966424	616	538.8506493506494	0.002627667779186094	124.87685022401183	0.00045107984019885456	276839.79441191826	0.27921958190061574	0.24105826086557758	0.038161321035038165	True	0.7600220366851608	False
4	4	27,14,3,20	242	574	0.42160278745644597	816	680.921568627451	0.003129416748386844	142.07091927680165	0.0005017489692007502	283151.39242460293	0.3884451661005166	0.34778027641844905	0.04066488968206755	True	0.7035271391577709	False
5	5	27,14,3,20,0	333	941	0.3538788522848034	1274	983.8398744113031	0.003553769375720712	302.918305783852	0.0004243526273338678	713836.2914989685	0.6213318756573261	0.43804008854395693	0.18329178711336913	True	0.5790238920500573	False
6	6	27,14,3,20,0,21	346	1036	0.333976833976834	1382	1037.4992764109986	0.003730347424070163	53.65940199969555	0.0001765780483494509	303884.8967993049	0.6625857759000277	0.4755982428781136	0.18698753302191407	True	0.5831312435924999	False
7	7	27,14,3,20,0,21,17	358	1143	0.3132108486439195	1501	1090.4570286475682	0.00401532121984603	52.957752236569604	0.0002849737957758671	185833.76093365817	0.7033002405870836	0.5362121748078564	0.1670880657792272	True	0.6128248066518307	False
8	8	27,14,3,20,0,21,17,19	365	1266	0.2883096366508689	1631	1133.2679337829552	0.004304807595038007	42.810905135386975	0.0002894863751919767	147885.73419732228	0.7362137048438234	0.5977859324675788	0.1384277723762446	True	0.6533997479096194	False
9	9	27,14,3,20,0,21,17,19,5	371	1354	0.2740029542097489	1725	1164.832463768116	0.004529531761213639	31.56452998516079	0.0002247241661756322	140458.99256109228	0.7604808401954803	0.6455847670041104	0.11489607319136996	True	0.6885848671741301	True
10	10	27,14,3,20,0,21,17,19,5,18	409	1781	0.22964626614261652	2190	1330.463926940639	0.004778787651816632	165.63146317252313	0.00024925589060299357	664503.7064995	0.8878200129058046	0.6986014998056767	0.18921851310012794	True	0.7075509911202122	False
11	11	27,14,3,20,0,21,17,19,5,18,26	415	1949	0.2129297075423294	2364	1368.5871404399322	0.004880662866387205	38.123213499293115	0.00010187521457057265	374214.8044545593	0.917129531611212	0.7202703599354177	0.19685917167579436	True	0.7250220037574537	False
12	12	27,14,3,20,0,21,17,19,5,18,26,10	419	1986	0.2109768378650554	2405	1384.0066528066527	0.004977583283705086	15.419512366720483	9.692041731788111e-05	159094.57257233348	0.9289842113367035	0.7408853345926975	0.18809887674400605	True	0.7442810767808108	False
13	13	27,14,3,20,0,21,17,19,5,18,26,10,25	422	2047	0.2061553492916463	2469	1399.4880518428513	0.0051536574769524375	15.481399036198582	0.0001760741932473513	87925.42933563303	0.9408864701703076	0.7783363189367924	0.16255015123351513	True	0.7805778851498435	False
14	14	27,14,3,20,0,21,17,19,5,18,26,10,25,8	429	2147	0.19981369352585002	2576	1430.222049689441	0.005475259881151776	30.733997846589773	0.00032160240419933876	95565.19928109719	0.9645150838702853	0.8467411565939087	0.11777392727637659	True	0.8474843748074198	False
15	15	27,14,3,20,0,21,17,19,5,18,26,10,25,8,24	430	2229	0.19291161956034095	2659	1441.8503196690485	0.005795513467011218	11.628269979607467	0.00032025358585944207	36309.56995657518	0.973455017448685	0.9148591005637737	0.05859591688491128	True	0.9152441258937457	False
16	16	27,14,3,20,0,21,17,19,5,18,26,10,25,8,24,2	431	2338	0.18434559452523525	2769	1455.6561935716866	0.006033757789530134	13.80587390263804	0.00023824432251891552	57948.38574397472	0.9840691153237597	0.9655336726186973	0.018535442705062466	True	0.9656650900012475	False
17	17	27,14,3,20,0,21,17,19,5,18,26,10,25,8,24,2,9	434	2468	0.17585089141004862	2902	1476.3776705720195	0.006195799746347721	20.721477000332925	0.0001620419568175869	127877.23258402395	1.0	1.0	0.0	True	1.0	False
