Sample_ID	Original_Cluster	Rank
0999936085	Cluster 27	1
2999936447	Cluster 27	1
3000063002	Cluster 27	1
3000064646	Cluster 27	1
4000063876	Cluster 27	1
4000065378	Cluster 27	1
4999934775	Cluster 27	1
6000065054	Cluster 27	1
6999935223	Cluster 27	1
7000064368	Cluster 27	1
AYUM0159	Cluster 27	1
AYUM0285	Cluster 27	1
AYUM0593	Cluster 27	1
C_AC0082	Cluster 27	1
C_AC0092	Cluster 27	1
C_AC0180	Cluster 27	1
C_AC0216	Cluster 27	1
C_AC0292	Cluster 27	1
C_AC0311	Cluster 27	1
C_AC0334	Cluster 27	1
C_AC0349	Cluster 27	1
C_AC0387	Cluster 27	1
C_AC0389	Cluster 27	1
C_AC0414	Cluster 27	1
C_AC0456	Cluster 27	1
C_AC0473	Cluster 27	1
C_AC0492	Cluster 27	1
C_AC0542	Cluster 27	1
C_AC0625	Cluster 27	1
C_AC0632	Cluster 27	1
C_AC0696	Cluster 27	1
C_AC0709	Cluster 27	1
C_AC0719	Cluster 27	1
C_AC0723	Cluster 27	1
C_AC0766	Cluster 27	1
C_AC0809	Cluster 27	1
C_AC0815	Cluster 27	1
C_AC0817	Cluster 27	1
C_AC0840	Cluster 27	1
C_AC0871	Cluster 27	1
C_AC0878	Cluster 27	1
C_AC0953	Cluster 27	1
C_AC1500	Cluster 27	1
C_AC1671	Cluster 27	1
C_AC1702	Cluster 27	1
HVUM0048	Cluster 27	1
HVUM0064	Cluster 27	1
HVUM0077	Cluster 27	1
HVUM0152	Cluster 27	1
HVUM0492	Cluster 27	1
HVUM0607	Cluster 27	1
HVUM0622	Cluster 27	1
HVUM0641	Cluster 27	1
HVUM0718	Cluster 27	1
LCAC0004	Cluster 27	1
LCAC0023	Cluster 27	1
LCAC0055	Cluster 27	1
LCAC0105	Cluster 27	1
LCAC0109	Cluster 27	1
LCAC0119	Cluster 27	1
LCAC0196	Cluster 27	1
LCAC0207	Cluster 27	1
LCAC0266	Cluster 27	1
LCAC0308	Cluster 27	1
LCAC0360	Cluster 27	1
LCAC0389	Cluster 27	1
LCAC0419	Cluster 27	1
LCAC0472	Cluster 27	1
LCAC0477	Cluster 27	1
LCAC0487	Cluster 27	1
LCAC0523	Cluster 27	1
LCAC0571	Cluster 27	1
LCAC0623	Cluster 27	1
LCAC0669	Cluster 27	1
NAG10262	Cluster 27	1
NAG10307	Cluster 27	1
